Title:
Authors:
Table:
================================================================================
Byte-by-byte Description of file: table.dat
--------------------------------------------------------------------------------
 Bytes Format Units  Label     Explanations
--------------------------------------------------------------------------------
   1- 3  I3         ---    ID             [24/361] Source ID
   5- 9  F5.2       mJy    $S_{\nu,flux}$ [0.07/16.04] Dendrogram contour flux
  11-14  F4.2   mJy.beam-1 $S_{\nu,peak}$ [0.25/4.93] Brightest pixel flux
  16-20  F5.3   mJy.beam-1 $S_{\nu, err}$ [0.05/0.18] Noise
  22-26  F5.3       arcsec FWHM$_{maj}$   [0.03/0.31] Source FWHM (maj)
  28-32  F5.3       arcsec FWHM$_{min}$   [0.02/0.23] Source FWHM (min)
  34-65  A32        ---    RA (ICRS)      RA coordinate (ICRS)
  67-98  A32        ---    Dec (ICRS)     Dec coordinate (ICRS)
    100  I1         ---    Score          [1/2] 2=detection; 1=likely detection
102-112  A11        ---    G18            ? Source ID match from G18 catalog
114-115  I2         K      $T_B$          [4/99] Brightness temperature
117-122  F6.2       ---    $\alpha$       [0.3/3.5] Spectral index
124-129  F6.2       ---    $\alpha_{err}$ [0.03/0.4] Spectral index error
131-135  F5.1      solMass Mass           [2.2/240.7] Core mass
--------------------------------------------------------------------------------
Notes:
--------------------------------------------------------------------------------
159  0.96 0.71 0.051 0.113 0.063 17:47:19.6752                    -28:23:10.068                    2             14   2.00   0.20  16.1
161  3.50 1.50 0.051 0.153 0.103 17:47:19.6944                    -28:23:09.312                    2 89          30   2.05   0.08  54.4
163  1.09 0.54 0.051 0.150 0.067 17:47:19.6512                    -28:23:08.772                    2             10   2.40   0.20  19.4
164  1.09 0.78 0.051 0.113 0.081 17:47:19.6896                    -28:23:08.772                    2             15   2.40   0.10  18.0
165  1.99 1.12 0.051 0.109 0.090 17:47:19.5744                    -28:23:08.628                    2             22   1.90   0.10  31.5
167  0.33 0.40 0.051 0.057 0.056 17:47:19.6224                    -28:23:08.52                     1              8   2.10   0.30   6.5
168 16.04 4.93 0.051 0.301 0.131 17:47:19.6152                    -28:23:08.232                    2 88          99   1.87   0.03 240.7
169  0.13 0.50 0.051 0.038 0.026 17:47:19.6152                    -28:23:08.412                    1             10   2.70   0.20   2.4
170  1.41 0.54 0.051 0.180 0.077 17:47:19.6488                    -28:23:08.052                    2             10   2.50   0.20  24.9
172  0.97 0.53 0.051 0.113 0.082 17:47:19.6104                    -28:23:07.692                    2             10   2.50   0.20  17.2
173  2.30 1.20 0.051 0.124 0.087 17:47:19.5984                    -28:23:07.404                    2             24   2.20   0.10  36.3
174  1.07 0.69 0.051 0.151 0.043 17:47:19.5648                    -28:23:07.188                    1 226         14   2.10   0.20  17.9
175  2.64 1.25 0.051 0.124 0.094 17:47:19.584                     -28:23:07.044                    2 226         25   2.19   0.09  41.4
