Title:
Authors:
Table:
================================================================================
Byte-by-byte Description of file: catMB6_full.dat
--------------------------------------------------------------------------------
 Bytes Format Units  Label     Explanations
--------------------------------------------------------------------------------
   1- 3  I3         ---    ID             [4/301]? Source ID
   5- 9  F5.1       mJy    $S_{\nu,flux}$ [0.5/634.8]? Dendrogram contour flux
  11-15  F5.1   mJy.beam-1 $S_{\nu,peak}$ [1.3/146.0]? Brightest pixel flux
  17-21  F5.3   mJy.beam-1 $S_{\nu, err}$ [0.25/1.02]? Noise
  23-27  F5.3       arcsec FWHM$_{maj}$   [0.02/0.35]? Source FWHM (maj)
  29-33  F5.3       arcsec FWHM$_{min}$   [0.01/0.16]? Source FWHM (min)
  35-66  A32        ---    RA (ICRS)      RA coordinate (ICRS)
  68-99  A32        ---    Dec (ICRS)     Dec coordinate (ICRS)
    101  I1         ---    Score          2=core, 1=likely core
103-110  A8         ---    Source         Source type
112-114  I3         ---    ID$_{Band 3}$  [1/256]? Source ID match from Band 3
116-119  I4         K      $T_B$          [9/1097]? Brightness temperature
121-126  F6.3       ---    $\alpha$       [-1.0/3.7]? Spectral index
128-132  F5.3       ---    $\alpha_{err}$ [0.0/0.4]? Spectral index error
134-137  F4.1      solMass Mass           ? Core mass
--------------------------------------------------------------------------------
Notes:
--------------------------------------------------------------------------------
212  13.9   2.6 0.251 0.139 0.114 17:47:19.9032                    -28:23:09.204                    2 core     143   19  3.000 0.200  8.7
214  12.5   4.1 0.251 0.121 0.063 17:47:19.7712                    -28:23:03.948                    2 core     116   30  2.100 0.100  7.2
215   6.8   2.3 0.251 0.125 0.050 17:47:19.86                      -28:23:01.392                    0 HII      133   17  0.100 0.200     
216   7.3   3.0 0.251 0.110 0.053 17:47:20.016                     -28:23:11.076                    2 core     140   22  2.900 0.200  4.4
218  21.7   3.6 0.251 0.177 0.076 17:47:19.9296                    -28:23:09.852                    2 core     142   27  2.900 0.100 12.7
220   0.8   1.3 0.251 0.049 0.023 17:47:19.8768                    -28:23:10.572                    1 core            9  2.600 0.400  0.9
221  14.7   2.9 0.251 0.218 0.055 17:47:19.8528                    -28:23:10.392                    2 core     141   21  2.900 0.200  8.9
223   6.9   2.3 0.251 0.105 0.060 17:47:19.6944                    -28:23:07.368                    1 core           17  3.300 0.300  4.5
225   2.7   2.0 0.283 0.064 0.040 17:47:19.7424                    -28:23:10.14                     1 core           14  3.100 0.300  2.0
227   1.9   1.8 0.283 0.049 0.037 17:47:19.74                      -28:23:10.068                    1 core           13  3.200 0.300  1.5
230  21.8   5.3 0.283 0.161 0.067 17:47:19.6944                    -28:23:09.312                    2 core     161   39  2.090 0.080 12.4
231   4.3   2.0 0.283 0.108 0.039 17:47:19.6776                    -28:23:09.132                    1 core           15  3.000 0.400  3.1
232  12.5   2.3 0.283 0.179 0.063 17:47:19.6512                    -28:23:08.808                    2 core     163   17  2.400 0.200  8.5
233  14.5   3.9 0.283 0.140 0.071 17:47:19.6896                    -28:23:08.772                    2 core     164   29  2.400 0.100  8.5
234 136.0  14.7 0.283 0.344 0.124 17:47:19.6176                    -28:23:08.232                    2 core     168  110  1.920 0.030 72.6
235  13.8   3.3 0.283 0.186 0.053 17:47:19.6488                    -28:23:08.052                    2 core     170   25  2.700 0.200  8.4
236   8.3   2.9 0.283 0.100 0.061 17:47:19.608                     -28:23:07.692                    2 core     172   21  2.500 0.200  5.2
237  15.7   4.8 0.283 0.109 0.076 17:47:19.596                     -28:23:07.404                    2 core     173   36  2.200 0.100  9.0
238   0.5   1.4 0.283 0.033 0.020 17:47:19.596                     -28:23:07.224                    1 core           10  2.400 0.400  0.6
239   3.3   4.6 0.283 0.038 0.032 17:47:19.584                     -28:23:07.044                    2 core     175   34  2.210 0.090  1.9
240   1.4   4.5 0.283 0.029 0.017 17:47:19.584                     -28:23:06.972                    2 core     175   34  2.400 0.100  0.8
243  11.8   4.2 0.280 0.103 0.065 17:47:19.656                     -28:23:10.104                    2 core     158   31  2.500 0.100  6.8
244   5.7   3.3 0.280 0.103 0.038 17:47:19.6752                    -28:23:10.068                    2 core     159   25  2.100 0.200  3.4
245   9.5   3.6 0.280 0.087 0.070 17:47:19.572                     -28:23:08.628                    2 core     165   26  1.900 0.100  5.7
246   3.0   3.0 0.280 0.050 0.036 17:47:19.6152                    -28:23:08.412                    1 core     169   22  2.700 0.200  1.8
247   7.2   3.1 0.280 0.138 0.032 17:47:19.5648                    -28:23:07.188                    1 core     174   23  2.200 0.200  4.4
248  40.5   5.8 0.280 0.216 0.101 17:47:19.56                      -28:23:03.156                    2 core     178   43  2.440 0.080 22.7
249  11.6   5.5 0.280 0.093 0.059 17:47:19.5384                    -28:23:03.3                      2 core     179   41  2.300 0.100  6.5
250   1.8   2.2 0.280 0.046 0.029 17:47:19.5528                    -28:23:03.012                    1 core     181   16  3.100 0.300  1.2
251   7.3   3.1 0.280 0.115 0.042 17:47:19.5576                    -28:23:02.904                    2 core     182   22  3.200 0.200  4.5
252  18.8   5.6 0.280 0.111 0.072 17:47:19.5648                    -28:23:02.58                     2 core     183   42  2.380 0.080 10.6
253   7.9   2.0 0.277 0.165 0.049 17:47:19.6488                    -28:23:11.472                    1 core     190   14  2.700 0.300  5.8
254   2.6   1.9 0.277 0.063 0.040 17:47:19.6632                    -28:23:10.788                    1 core     155   13  2.800 0.300  2.0
255   1.4   1.8 0.277 0.064 0.021 17:47:19.6656                    -28:23:10.716                    1 core           13  2.900 0.300  1.1
256   5.1   4.2 0.277 0.077 0.036 17:47:19.656                     -28:23:10.644                    2 core     156   31  2.800 0.200  3.0
258   3.5   2.8 0.277 0.057 0.039 17:47:19.4616                    -28:23:06.972                    2 core     195   20  2.700 0.200  2.2
259   6.2   3.7 0.277 0.074 0.043 17:47:19.4688                    -28:23:06.936                    1 core     195   28  2.200 0.100  3.7
260  21.0   3.3 0.277 0.172 0.093 17:47:19.4808                    -28:23:03.876                    2 core     196   24  2.400 0.100 12.8
261  18.5   8.6 0.299 0.085 0.060 17:47:19.4472                    -28:23:07.728                    2 core     193   64  2.830 0.070 10.1
262   2.9   4.1 0.299 0.053 0.023 17:47:19.4352                    -28:23:07.764                    2 core     194   31  2.900 0.200  1.7
263  12.4   5.1 0.299 0.103 0.076 17:47:19.3992                    -28:23:03.264                    2 core     200   38  2.700 0.100  7.1
267  11.7   2.7 0.293 0.111 0.109 17:47:19.4136                    -28:23:07.836                    2 core     192   19  2.800 0.200  7.6
268   9.0   3.3 0.293 0.080 0.075 17:47:19.3776                    -28:23:03.12                     2 core     203   24  2.400 0.200  5.5
269   3.2   2.3 0.293 0.058 0.045 17:47:19.3752                    -28:23:02.976                    2 core     203   17  2.500 0.200  2.2
270   4.7   2.6 0.290 0.076 0.049 17:47:19.3512                    -28:23:09.06                     1 core           19  3.400 0.300  3.1
272   2.5   3.0 0.290 0.047 0.031 17:47:19.356                     -28:23:08.916                    2 core     210   22  2.400 0.200  1.6
273   1.1   2.8 0.290 0.043 0.015 17:47:19.3512                    -28:23:08.88                     2 core           21  3.400 0.300  0.7
275   3.0   1.5 0.290 0.065 0.056 17:47:19.3728                    -28:23:08.484                    1 core           11  3.000 0.400  2.9
276   5.1   1.9 0.303 0.122 0.046 17:47:19.4688                    -28:23:13.2                      2 core     208   14  2.000 0.200  4.1
277  12.9   5.5 0.296 0.101 0.066 17:47:19.2144                    -28:23:02.868                    2 core     216   41  2.600 0.100  7.3
279   7.6   4.4 0.337 0.081 0.051 17:47:19.5072                    -28:23:16.692                    2 core     219   32  2.400 0.100  4.5
280   5.4   2.9 0.337 0.077 0.047 17:47:19.5264                    -28:23:16.62                     2 core     220   22  2.700 0.200  3.5
281  36.1   5.3 0.337 0.192 0.160 17:47:19.0824                    -28:23:04.344                    2 core     215   39  2.400 0.100 20.9
282   8.8   2.9 0.337 0.086 0.071 17:47:19.0896                    -28:23:02.724                    2 core     217   21  2.200 0.200  5.9
283   3.9   2.8 0.378 0.061 0.046 17:47:19.0272                    -28:23:04.812                    2 core     223   20  2.300 0.200  2.8
284   3.4   3.2 0.378 0.063 0.035 17:47:19.008                     -28:23:04.092                    2 core           23  3.400 0.300  2.3
