Title:
Authors:
Table:
================================================================================
Byte-by-byte Description of file: table.dat
--------------------------------------------------------------------------------
 Bytes Format Units  Label     Explanations
--------------------------------------------------------------------------------
   1- 3  I3         ---    ID             [48/301] Source ID
   5- 9  F5.1       mJy    $S_{\nu,flux}$ [0.5/136.0] Dendrogram contour flux
  11-14  F4.1   mJy.beam-1 $S_{\nu,peak}$ [1.3/14.7] Brightest pixel flux
  16-20  F5.3   mJy.beam-1 $S_{\nu, err}$ [0.25/1.02] Noise
  22-26  F5.3       arcsec FWHM$_{maj}$   [0.02/0.35] Source FWHM (maj)
  28-32  F5.3       arcsec FWHM$_{min}$   [0.01/0.16] Source FWHM (min)
  34-65  A32        ---    RA (ICRS)      RA coordinate (ICRS)
  67-98  A32        ---    Dec (ICRS)     Dec coordinate (ICRS)
    100  I1         ---    Score          [1/2] 2=detection; 1=likely detection
102-104  I3         K      $T_B$          [9/110] Brightness temperature
106-110  F5.2       ---    $\alpha$       [-0.4/3.7] Spectral index
112-115  F4.2       ---    $\alpha_{err}$ [0.03/0.4] Spectral index error
117-120  F4.1      solMass Mass           [0.6/72.6] Core mass
--------------------------------------------------------------------------------
Notes:
--------------------------------------------------------------------------------
234 136.0 14.7 0.283 0.344 0.124 17:47:19.6176                    -28:23:08.232                    2 110  1.92 0.03 72.6
235  13.8  3.3 0.283 0.186 0.053 17:47:19.6488                    -28:23:08.052                    2  25  2.70 0.20  8.4
236   8.3  2.9 0.283 0.100 0.061 17:47:19.608                     -28:23:07.692                    2  21  2.50 0.20  5.2
237  15.7  4.8 0.283 0.109 0.076 17:47:19.596                     -28:23:07.404                    2  36  2.20 0.10  9.0
238   0.5  1.4 0.283 0.033 0.020 17:47:19.596                     -28:23:07.224                    1  10  2.40 0.40  0.6
239   3.3  4.6 0.283 0.038 0.032 17:47:19.584                     -28:23:07.044                    2  34  2.21 0.09  1.9
240   1.4  4.5 0.283 0.029 0.017 17:47:19.584                     -28:23:06.972                    2  34  2.40 0.10  0.8
243  11.8  4.2 0.280 0.103 0.065 17:47:19.656                     -28:23:10.104                    2  31  2.50 0.10  6.8
244   5.7  3.3 0.280 0.103 0.038 17:47:19.6752                    -28:23:10.068                    2  25  2.10 0.20  3.4
245   9.5  3.6 0.280 0.087 0.070 17:47:19.572                     -28:23:08.628                    2  26  1.90 0.10  5.7
246   3.0  3.0 0.280 0.050 0.036 17:47:19.6152                    -28:23:08.412                    1  22  2.70 0.20  1.8
247   7.2  3.1 0.280 0.138 0.032 17:47:19.5648                    -28:23:07.188                    1  23  2.20 0.20  4.4
248  40.5  5.8 0.280 0.216 0.101 17:47:19.56                      -28:23:03.156                    2  43  2.44 0.08 22.7
249  11.6  5.5 0.280 0.093 0.059 17:47:19.5384                    -28:23:03.3                      2  41  2.30 0.10  6.5
250   1.8  2.2 0.280 0.046 0.029 17:47:19.5528                    -28:23:03.012                    1  16  3.10 0.30  1.2
251   7.3  3.1 0.280 0.115 0.042 17:47:19.5576                    -28:23:02.904                    2  22  3.20 0.20  4.5
252  18.8  5.6 0.280 0.111 0.072 17:47:19.5648                    -28:23:02.58                     2  42  2.38 0.08 10.6
253   7.9  2.0 0.277 0.165 0.049 17:47:19.6488                    -28:23:11.472                    1  14  2.70 0.30  5.8
254   2.6  1.9 0.277 0.063 0.040 17:47:19.6632                    -28:23:10.788                    1  13  2.80 0.30  2.0
255   1.4  1.8 0.277 0.064 0.021 17:47:19.6656                    -28:23:10.716                    1  13  2.90 0.30  1.1
256   5.1  4.2 0.277 0.077 0.036 17:47:19.656                     -28:23:10.644                    2  31  2.80 0.20  3.0
258   3.5  2.8 0.277 0.057 0.039 17:47:19.4616                    -28:23:06.972                    2  20  2.70 0.20  2.2
259   6.2  3.7 0.277 0.074 0.043 17:47:19.4688                    -28:23:06.936                    1  28  2.20 0.10  3.7
260  21.0  3.3 0.277 0.172 0.093 17:47:19.4808                    -28:23:03.876                    2  24  2.40 0.10 12.8
261  18.5  8.6 0.299 0.085 0.060 17:47:19.4472                    -28:23:07.728                    2  64  2.83 0.07 10.1
262   2.9  4.1 0.299 0.053 0.023 17:47:19.4352                    -28:23:07.764                    2  31  2.90 0.20  1.7
263  12.4  5.1 0.299 0.103 0.076 17:47:19.3992                    -28:23:03.264                    2  38  2.70 0.10  7.1
267  11.7  2.7 0.293 0.111 0.109 17:47:19.4136                    -28:23:07.836                    2  19  2.80 0.20  7.6
268   9.0  3.3 0.293 0.080 0.075 17:47:19.3776                    -28:23:03.12                     2  24  2.40 0.20  5.5
269   3.2  2.3 0.293 0.058 0.045 17:47:19.3752                    -28:23:02.976                    2  17  2.50 0.20  2.2
270   4.7  2.6 0.290 0.076 0.049 17:47:19.3512                    -28:23:09.06                     1  19  3.40 0.30  3.1
272   2.5  3.0 0.290 0.047 0.031 17:47:19.356                     -28:23:08.916                    2  22  2.40 0.20  1.6
273   1.1  2.8 0.290 0.043 0.015 17:47:19.3512                    -28:23:08.88                     2  21  3.40 0.30  0.7
275   3.0  1.5 0.290 0.065 0.056 17:47:19.3728                    -28:23:08.484                    1  11  3.00 0.40  2.9
276   5.1  1.9 0.303 0.122 0.046 17:47:19.4688                    -28:23:13.2                      2  14  2.00 0.20  4.1
277  12.9  5.5 0.296 0.101 0.066 17:47:19.2144                    -28:23:02.868                    2  41  2.60 0.10  7.3
279   7.6  4.4 0.337 0.081 0.051 17:47:19.5072                    -28:23:16.692                    2  32  2.40 0.10  4.5
280   5.4  2.9 0.337 0.077 0.047 17:47:19.5264                    -28:23:16.62                     2  22  2.70 0.20  3.5
281  36.1  5.3 0.337 0.192 0.160 17:47:19.0824                    -28:23:04.344                    2  39  2.40 0.10 20.9
282   8.8  2.9 0.337 0.086 0.071 17:47:19.0896                    -28:23:02.724                    2  21  2.20 0.20  5.9
283   3.9  2.8 0.378 0.061 0.046 17:47:19.0272                    -28:23:04.812                    2  20  2.30 0.20  2.8
284   3.4  3.2 0.378 0.063 0.035 17:47:19.008                     -28:23:04.092                    2  23  3.40 0.30  2.3
285   6.5  3.8 0.378 0.076 0.051 17:47:19.0584                    -28:23:01.14                     2  28  3.30 0.20  4.1
286   8.9  3.1 0.415 0.099 0.060 17:47:18.9576                    -28:23:06.54                     2  23  2.40 0.20  6.3
287   7.0  3.7 0.401 0.141 0.035 17:47:18.9                       -28:23:06.792                    2  27  2.50 0.20  4.6
288   2.3  3.1 0.435 0.052 0.028 17:47:18.864                     -28:23:07.512                    2  23  2.90 0.30  1.7
290   2.5  2.2 0.445 0.050 0.041 17:47:18.8448                    -28:23:08.736                    2  16  3.10 0.30  2.6
291   2.7  3.0 0.445 0.052 0.033 17:47:18.8088                    -28:23:03.732                    2  22  2.50 0.30  2.0
292   3.8  2.8 0.445 0.062 0.041 17:47:18.8232                    -28:23:01.824                    2  21  2.50 0.20  3.0
294  38.6 10.9 0.524 0.140 0.073 17:47:18.7464                    -28:23:03.948                    2  81  2.28 0.08 21.6
295   8.8  3.9 0.524 0.111 0.042 17:47:18.7224                    -28:23:03.732                    2  29  2.40 0.20  6.2
297   1.6  3.7 0.740 0.038 0.019 17:47:18.7656                    -28:22:56.244                    2  27  2.20 0.30  1.7
298  20.6  7.9 0.819 0.105 0.057 17:47:18.7128                    -28:22:56.424                    2  59  2.60 0.20 13.1
301   9.0  7.0 1.016 0.072 0.036 17:47:19.2552                    -28:23:23.46                     2  52  2.60 0.20  6.5
