Title:
Authors:
Table:
================================================================================
Byte-by-byte Description of file: table.dat
--------------------------------------------------------------------------------
 Bytes Format Units  Label     Explanations
--------------------------------------------------------------------------------
   1- 3  I3         ---    ID             [1/397] Source ID
   5- 9  F5.2       mJy    $S_{\nu,flux}$ [0.04/10.89] Dendrogram countour flux
  11-14  F4.2   mJy.beam-1 $S_{\nu,peak}$ [0.16/4.7] Brightest pixel flux
  16-20  F5.3   mJy.beam-1 $S_{\nu, err}$ [0.03/0.07] Noise
  22-26  F5.3       arcsec FWHM$_{maj}$   [0.03/0.29] Source FWHM (maj)
  28-32  F5.3       arcsec FWHM$_{min}$   [0.01/0.25] Source FWHM (min)
  34-65  A32        ---    RA (ICRS)      RA coordinate (ICRS)
  67-98  A32        ---    Dec (ICRS)     Dec coordinate (ICRS)
    100  I1         ---    Score          [1/2] 2=detection; 1=likely detection
102-110  A9         ---    G18            ? Source ID match from G18 catalog
112-113  I2         K      $T_B$          [3/94] Brightness temperature
115-120  F6.2       ---    $\alpha$       [1.3/4.5] Spectral index
122-127  F6.2       ---    $\alpha_{err}$ [0.03/0.4] Spectral index error
129-133  F5.1      solMass Mass           [1.1/163.0] Core mass
--------------------------------------------------------------------------------
Notes:
--------------------------------------------------------------------------------
 85  0.23 0.24 0.032 0.074 0.056 17:47:19.7544                    -28:22:16.536                    1            4   2.70   0.40   4.6
 86  0.08 0.28 0.032 0.047 0.022 17:47:19.7664                    -28:22:16.536                    1            5   3.20   0.20   1.6
 88  1.36 1.36 0.032 0.083 0.053 17:47:19.8216                    -28:22:16.464                    2           27   2.00   0.10  20.7
 89  2.36 1.41 0.032 0.116 0.062 17:47:19.7952                    -28:22:16.464                    2           28   1.80   0.10  36.0
 91  9.64 2.64 0.032 0.189 0.104 17:47:19.8072                    -28:22:16.284                    1           53   2.18   0.05 145.0
 93  4.31 1.25 0.032 0.169 0.131 17:47:19.9896                    -28:22:16.248                    2           25   1.90   0.10  66.1
 97  0.66 0.54 0.032 0.082 0.060 17:47:19.7232                    -28:22:16.212                    1           10   2.20   0.20  10.8
100  8.72 2.52 0.032 0.158 0.126 17:47:19.752                     -28:22:16.068                    2           50   1.46   0.09 131.3
101  0.57 0.33 0.032 0.117 0.078 17:47:19.8336                    -28:22:16.068                    1            6   3.30   0.20  10.2
104  1.39 0.40 0.032 0.222 0.089 17:47:19.8024                    -28:22:15.744                    1            8   3.10   0.20  23.7
107 10.89 3.77 0.032 0.179 0.119 17:47:19.908                     -28:22:15.564                    2 109       76   2.01   0.04 163.0
111  1.29 0.60 0.032 0.133 0.079 17:47:19.8624                    -28:22:15.168                    1           12   2.90   0.10  20.7
112  0.91 0.60 0.032 0.114 0.073 17:47:20.076                     -28:22:23.016                    2           12   2.70   0.10  14.7
113  2.51 1.01 0.032 0.182 0.074 17:47:19.8768                    -28:22:22.44                     1 114       20   2.57   0.09  38.8
114  0.12 0.35 0.032 0.055 0.021 17:47:19.8888                    -28:22:22.296                    1 114        7   3.00   0.20   2.1
115  0.21 0.17 0.032 0.079 0.062 17:47:19.548                     -28:22:17.688                    2            3   3.20   0.30   5.6
120  0.67 0.27 0.032 0.169 0.070 17:47:19.6584                    -28:22:16.536                    1            5   3.00   0.20  12.6
125  0.79 0.68 0.032 0.081 0.076 17:47:19.6776                    -28:22:15.78                     2           13   1.60   0.30  12.5
126  9.92 3.29 0.032 0.225 0.151 17:47:19.7448                    -28:22:15.492                    2           66   1.58   0.06 148.7
129  2.59 0.78 0.032 0.216 0.119 17:47:19.6728                    -28:22:15.276                    2           15   2.20   0.20  40.8
130  1.74 1.02 0.032 0.138 0.085 17:47:19.7088                    -28:22:15.132                    2           20   1.70   0.20  27.0
136  1.66 0.48 0.032 0.256 0.075 17:47:19.6344                    -28:22:15.06                     1            9   1.90   0.30  27.5
139  1.89 1.24 0.032 0.102 0.077 17:47:19.6896                    -28:22:14.916                    2 110       24   2.10   0.10  28.9
140  1.12 0.72 0.032 0.143 0.061 17:47:19.6704                    -28:22:14.88                     1 110       14   1.70   0.30  17.7
141  0.75 0.69 0.032 0.085 0.067 17:47:19.6344                    -28:22:14.844                    2           13   1.60   0.30  11.9
145  0.20 0.37 0.032 0.060 0.034 17:47:19.6776                    -28:22:14.772                    1            7   2.40   0.30   3.5
151  1.30 1.18 0.032 0.082 0.060 17:47:19.9392                    -28:22:14.448                    2           23   1.70   0.20  20.0
152  0.08 0.35 0.032 0.034 0.021 17:47:19.704                     -28:22:14.412                    1            7   2.40   0.30   1.4
154  0.21 0.37 0.032 0.064 0.033 17:47:19.6968                    -28:22:14.34                     1            7   2.70   0.20   3.6
155  0.33 0.37 0.032 0.073 0.057 17:47:19.6824                    -28:22:14.268                    2            7   2.40   0.30   5.8
157  0.88 0.82 0.032 0.079 0.058 17:47:19.9608                    -28:22:14.196                    1           16   1.90   0.20  13.8
159  7.14 2.10 0.032 0.222 0.104 17:47:19.9584                    -28:22:13.98                     2           42   2.03   0.07 107.8
162  2.62 0.85 0.032 0.195 0.125 17:47:20.0136                    -28:22:13.836                    2           17   1.60   0.20  40.9
165  0.73 0.48 0.032 0.130 0.054 17:47:19.896                     -28:22:13.836                    1            9   2.80   0.20  12.1
166  0.26 0.45 0.032 0.054 0.041 17:47:19.908                     -28:22:13.728                    1            9   2.90   0.20   4.3
184  0.46 0.26 0.032 0.113 0.067 17:47:19.6584                    -28:22:24.528                    1 113        5   2.60   0.30   8.9
185  3.98 1.76 0.032 0.161 0.101 17:47:19.6416                    -28:22:24.384                    2 113       35   2.35   0.06  60.4
194  1.17 0.56 0.032 0.113 0.098 17:47:19.6536                    -28:22:22.728                    2           11   1.90   0.30  18.9
195  0.75 0.26 0.032 0.181 0.094 17:47:19.4832                    -28:22:16.716                    1            5   2.70   0.30  14.5
197  0.58 0.43 0.032 0.102 0.054 17:47:19.4688                    -28:22:15.456                    1            8   2.40   0.20   9.8
200  0.93 0.59 0.032 0.135 0.054 17:47:19.476                     -28:22:15.24                     2           12   2.30   0.20  14.9
201  1.34 0.61 0.032 0.215 0.043 17:47:19.4568                    -28:22:14.88                     1           12   1.70   0.30  21.4
205  0.72 0.27 0.032 0.119 0.106 17:47:19.5312                    -28:22:14.664                    1            5   2.70   0.30  13.7
206  1.16 0.47 0.032 0.151 0.093 17:47:19.6032                    -28:22:14.664                    2            9   2.10   0.30  19.3
207  0.50 0.31 0.032 0.103 0.067 17:47:19.4856                    -28:22:14.592                    1            6   2.80   0.20   9.1
208  3.65 1.15 0.032 0.223 0.125 17:47:19.5072                    -28:22:14.484                    2 111       23   2.59   0.08  56.2
209  1.16 0.51 0.032 0.155 0.077 17:47:19.5648                    -28:22:14.484                    2           10   2.30   0.20  19.0
210  0.27 0.20 0.032 0.081 0.068 17:47:19.6488                    -28:22:14.052                    1            4   3.00   0.30   5.9
221  1.07 1.03 0.032 0.085 0.068 17:47:19.6368                    -28:22:12.432                    2           20   1.80   0.20  16.6
223  0.44 0.37 0.032 0.083 0.070 17:47:19.2912                    -28:22:18.372                    2 251        7   2.80   0.20   7.5
224  1.58 0.99 0.032 0.111 0.085 17:47:19.4088                    -28:22:14.7                      2           20   2.00   0.10  24.4
225  1.12 0.69 0.032 0.103 0.084 17:47:19.4832                    -28:22:13.8                      2           13   2.40   0.10  17.8
226  0.15 0.17 0.032 0.066 0.053 17:47:19.4376                    -28:22:13.368                    1            3   3.20   0.30   4.0
227  0.87 0.51 0.032 0.133 0.074 17:47:19.452                     -28:22:13.152                    2           10   2.60   0.20  14.3
228  0.90 0.67 0.032 0.098 0.074 17:47:19.548                     -28:22:12.216                    2           13   2.40   0.20  14.4
229  2.52 0.97 0.032 0.200 0.085 17:47:19.464                     -28:22:11.928                    2           19   1.80   0.20  39.2
231  1.57 0.80 0.032 0.127 0.087 17:47:19.6056                    -28:22:11.604                    2 112       16   2.30   0.10  24.6
232  1.07 1.02 0.032 0.080 0.054 17:47:20.3136                    -28:22:11.316                    1           20   2.00   0.10  16.5
233  0.94 0.34 0.032 0.196 0.077 17:47:19.8216                    -28:22:11.172                    1            6   2.90   0.20  16.6
234  1.16 0.52 0.032 0.137 0.087 17:47:19.7976                    -28:22:10.956                    1           10   2.00   0.30  19.0
237  1.31 0.64 0.032 0.121 0.108 17:47:19.812                     -28:22:10.56                     2           12   2.20   0.20  21.0
238  0.89 0.37 0.032 0.170 0.091 17:47:19.6728                    -28:22:10.308                    2            7   2.40   0.30  15.4
240  0.58 0.36 0.032 0.130 0.062 17:47:19.7424                    -28:22:10.164                    1            7   2.40   0.30  10.1
242  1.02 0.35 0.032 0.172 0.085 17:47:19.6968                    -28:22:10.092                    1            7   2.40   0.30  17.9
243  1.48 0.67 0.032 0.127 0.097 17:47:19.7232                    -28:22:10.056                    2           13   2.10   0.20  23.5
246  1.23 1.02 0.032 0.089 0.076 17:47:19.9248                    -28:22:09.876                    2           20   2.10   0.10  19.1
249  1.41 0.66 0.032 0.138 0.089 17:47:19.1664                    -28:22:15.384                    2           13   2.30   0.20  22.4
251  9.69 1.86 0.032 0.287 0.241 17:47:19.2528                    -28:22:14.988                    2 108       37   2.80   0.04 146.7
252  0.32 0.24 0.032 0.095 0.065 17:47:19.1784                    -28:22:15.132                    1            4   2.90   0.30   6.5
253  0.33 0.28 0.032 0.081 0.065 17:47:19.2816                    -28:22:14.268                    2            5   2.80   0.30   6.1
254  0.08 0.17 0.032 0.055 0.031 17:47:19.2336                    -28:22:14.304                    1            3   3.30   0.30   2.1
255  0.34 0.31 0.032 0.080 0.066 17:47:19.3152                    -28:22:12.72                     2            6   3.00   0.20   6.2
258  0.08 0.17 0.032 0.049 0.037 17:47:19.6176                    -28:22:10.056                    1            3   3.20   0.40   2.2
260  0.23 0.27 0.032 0.064 0.059 17:47:19.7232                    -28:22:08.94                     1            5   2.80   0.30   4.4
262  1.19 0.82 0.032 0.093 0.084 17:47:19.9128                    -28:22:08.364                    2           16   2.30   0.20  18.7
263  1.28 1.17 0.032 0.091 0.067 17:47:19.896                     -28:22:08.328                    2           23   2.20   0.10  19.6
270  1.88 1.52 0.032 0.109 0.061 17:47:19.1376                    -28:22:15.204                    2           30   2.00   0.10  28.7
272  1.16 0.73 0.032 0.151 0.076 17:47:19.02                      -28:22:14.88                     2           14   2.40   0.20  18.3
273  0.46 0.36 0.032 0.116 0.053 17:47:19.0608                    -28:22:13.476                    2            7   2.50   0.30   8.0
275  4.32 1.70 0.032 0.148 0.119 17:47:19.224                     -28:22:11.928                    2 107       34   2.34   0.07  65.5
276  1.22 0.68 0.032 0.125 0.077 17:47:19.1856                    -28:22:11.892                    2           13   1.80   0.30  19.3
277  0.12 0.23 0.032 0.049 0.039 17:47:19.2072                    -28:22:11.928                    1 107        4   3.00   0.30   2.4
278  1.38 0.95 0.032 0.101 0.084 17:47:19.2072                    -28:22:11.748                    2 107       19   2.30   0.10  21.4
281  1.81 0.76 0.032 0.176 0.110 17:47:19.0056                    -28:22:14.592                    2           15   2.30   0.20  28.5
282  0.84 0.36 0.032 0.172 0.086 17:47:18.9528                    -28:22:14.088                    2            7   2.60   0.30  14.6
284  0.76 0.62 0.032 0.093 0.052 17:47:18.9696                    -28:22:13.728                    1           12   2.00   0.30  12.1
