Title:
Authors:
Table:
================================================================================
Byte-by-byte Description of file: catNB6_full.dat
--------------------------------------------------------------------------------
 Bytes Format Units  Label     Explanations
--------------------------------------------------------------------------------
   1- 3  I3         ---    ID             [1/340]? Source ID
   5- 9  F5.1       mJy    $S_{\nu,flux}$ [0.8/133.0]? Dendrogram contour flux
  11-14  F4.1   mJy.beam-1 $S_{\nu,peak}$ [1.8/54.7]? Brightest pixel flux
  16-20  F5.3   mJy.beam-1 $S_{\nu, err}$ [0.35/1.16]? Noise
  22-26  F5.3       arcsec FWHM$_{maj}$   [0.03/0.31]? Source FWHM (maj)
  28-32  F5.3       arcsec FWHM$_{min}$   [0.01/0.18]? Source FWHM (min)
  34-65  A32        ---    RA (ICRS)      RA coordinate (ICRS)
  67-98  A32        ---    Dec (ICRS)     Dec coordinate (ICRS)
    100  I1         ---    Score          [1/2]? 2=core, 1=likely core
102-109  A8         ---    Source         Type of source
111-113  I3         ---    ID$_{Band 3}$  [2/323]? Source ID match from Band 3
115-117  I3         K      $T_B$          [13/409]? Brightness temperature
119-123  F5.2       ---    $\alpha$       [-1.01/4.3]? Spectral index
125-128  F4.2       ---    $\alpha_{err}$ [0.01/0.4]? Spectral index error
130-133  F4.1      solMass Mass           [0.8/39.71]? Core mass
--------------------------------------------------------------------------------
Notes:
--------------------------------------------------------------------------------
158   9.0  3.2 0.353 0.102 0.058 17:47:19.7568                    -28:22:19.812                    1 core      63  24  3.90 0.30  5.8
161   1.9  3.7 0.353 0.036 0.024 17:47:19.7544                    -28:22:17.616                    1 core      75  27  2.60 0.20  1.2
162   6.0  4.8 0.353 0.091 0.026 17:47:19.7496                    -28:22:17.58                     2 core      75  35  2.50 0.20  3.6
163  11.1  5.3 0.353 0.091 0.059 17:47:19.7448                    -28:22:17.472                    2 core      76  39  2.50 0.10  6.4
169   2.3  2.5 0.353 0.062 0.030 17:47:19.7664                    -28:22:16.536                    1 core      86  18  3.20 0.20  1.7
170  12.6  5.3 0.353 0.095 0.051 17:47:19.8216                    -28:22:16.464                    2 core      88  40  2.20 0.10  7.3
172   2.0  4.7 0.353 0.039 0.018 17:47:19.7952                    -28:22:16.464                    2 core      89  35  1.80 0.10  1.2
174  73.6 13.7 0.353 0.205 0.099 17:47:19.8048                    -28:22:16.248                    2 core      91 102  2.71 0.04 39.7
175   1.3  4.5 0.353 0.033 0.014 17:47:19.7928                    -28:22:16.428                    2 core      89  33  1.90 0.10  0.8
177  16.4  3.9 0.353 0.138 0.074 17:47:19.992                     -28:22:16.212                    1 core      93  29  2.20 0.10 10.1
184  11.6  3.3 0.353 0.091 0.079 17:47:19.8912                    -28:22:22.296                    1 core     114  24  3.40 0.20  7.5
